,t,inlet,1,2,3,4,5
1480,88.8,0,0.0,0.0,0.0,0.0,0.0
1481,88.86,0,0.0,0.0,0.0,0.0,0.0
1482,88.92,0,0.0,0.0,0.0,0.0,0.0
1483,88.97999999999999,0,0.0,0.0,0.0,0.0,0.0
1484,89.03999999999999,0,0.0,0.0,0.0,0.0,0.0
1485,89.1,0,0.0,0.0,0.0,0.0,0.0
1486,89.16,0,0.0,0.0,0.0,0.0,0.0
1487,89.22,0,0.0,0.0,0.0,0.0,0.0
1488,89.28,0,0.0,0.0,0.0,0.0,0.0
1489,89.34,0,0.0,0.0,0.0,0.0,0.0
1490,89.39999999999999,0,0.0,0.0,0.0,0.0,0.0
1491,89.46,0,0.0,0.0,0.0,0.0,0.0
1492,89.52,0,0.0,0.0,0.0,0.0,0.0
1493,89.58,0,0.0,0.0,0.0,0.0,0.0
1494,89.64,0,0.0,0.0,0.0,0.0,0.0
1495,89.7,0,0.0,0.0,0.0,0.0,0.0
1496,89.75999999999999,0,0.0,0.0,0.0,0.0,0.0
1497,89.82,0,0.0,0.0,0.0,0.0,0.0
1498,89.88,0,0.0,0.0,0.0,0.0,0.0
1499,89.94,0,0.0,0.0,0.0,0.0,0.0
1500,90.0,0,0.0,0.0,0.0,0.0,0.0
1501,90.06,0,0.0,0.0,0.0,0.0,0.0
1502,90.11999999999999,0,0.0,0.0,0.0,0.0,0.0
1503,90.17999999999999,0,0.0,0.0,0.0,0.0,0.0
1504,90.24,0,0.0,0.0,0.0,0.0,0.0
1505,90.3,0,0.0,0.0,0.0,0.0,0.0
1506,90.36,0,0.0,0.0,0.0,0.0,0.0
1507,90.42,0,0.0,0.0,0.0,0.0,0.0
1508,90.47999999999999,0,0.0,0.0,0.0,0.0,0.0
1509,90.53999999999999,0,0.0,0.0,0.0,0.0,0.0
1510,90.6,0,0.0,0.0,0.0,0.0,0.0
1511,90.66,0,0.0,0.0,0.0,0.0,0.0
1512,90.72,0,0.0,0.0,0.0,0.0,0.0
1513,90.78,0,0.0,0.0,0.0,0.0,0.0
1514,90.84,0,0.0,0.0,0.0,0.0,0.0
1515,90.89999999999999,0,0.0,0.0,0.0,0.0,0.0
1516,90.96,0,0.0,0.0,0.0,0.0,0.0
1517,91.02,0,0.0,0.0,0.0,0.0,0.0
1518,91.08,0,0.0,0.0,0.0,0.0,0.0
1519,91.14,0,0.0,0.0,0.0,0.0,0.0
1520,91.2,0,0.0,0.0,0.0,0.0,0.0
1521,91.25999999999999,0,0.0,0.0,0.0,0.0,0.0
1522,91.32,0,0.0,0.0,0.0,0.0,0.0
1523,91.38,0,0.0,0.0,0.0,0.0,0.0
1524,91.44,0,0.0,0.0,0.0,0.0,0.0
1525,91.5,0,0.0,0.0,0.0,0.0,0.0
1526,91.56,0,0.0,0.0,0.0,0.0,0.0
1527,91.61999999999999,0,0.0,0.0,0.0,0.0,0.0
1528,91.67999999999999,0,0.0,0.0,0.0,0.0,0.0
1529,91.74,0,0.0,0.0,0.0,0.0,0.0
1530,91.8,0,0.0,0.0,0.0,0.0,0.0
1531,91.86,0,0.0,0.0,0.0,0.0,0.0
1532,91.92,0,0.0,0.0,0.0,0.0,0.0
1533,91.97999999999999,0,0.0,0.0,0.0,0.0,0.0
1534,92.03999999999999,0,0.0,0.0,0.0,0.0,0.0
1535,92.1,0,0.0,0.0,0.0,0.0,0.0
1536,92.16,0,0.0,0.0,0.0,0.0,0.0
1537,92.22,0,0.0,0.0,0.0,0.0,0.0
1538,92.28,0,0.0,0.0,0.0,0.0,0.0
1539,92.34,0,0.0,0.0,0.0,0.0,0.0
1540,92.39999999999999,0,0.0,0.0,0.0,0.0,0.0
1541,92.46,0,0.0,0.0,0.0,0.0,0.0
1542,92.52,0,0.0,0.0,0.0,0.0,0.0
1543,92.58,0,0.0,0.0,0.0,0.0,0.0
1544,92.64,0,0.0,0.0,0.0,0.0,0.0
1545,92.7,0,0.0,0.0,0.0,0.0,0.0
1546,92.75999999999999,0,0.0,0.0,0.0,0.0,0.0
1547,92.82,0,0.0,0.0,0.0,0.0,0.0
1548,92.88,0,0.0,0.0,0.0,0.0,0.0
1549,92.94,0,0.0,0.0,0.0,0.0,0.0
1550,93.0,0,0.0,0.0,0.0,0.0,0.0
1551,93.06,0,0.0,0.0,0.0,0.0,0.0
1552,93.11999999999999,0,0.0,0.0,0.0,0.0,0.0
1553,93.17999999999999,0,0.0,0.0,0.0,0.0,0.0
1554,93.24,0,0.0,0.0,0.0,0.0,0.0
1555,93.3,0,0.0,0.0,0.0,0.0,0.0
1556,93.36,0,0.0,0.0,0.0,0.0,0.0
1557,93.42,0,0.0,0.0,0.0,0.0,0.0
1558,93.47999999999999,0,0.0,0.0,0.0,0.0,0.0
1559,93.53999999999999,0,0.0,0.0,0.0,0.0,0.0
1560,93.6,0,0.0,0.0,0.0,0.0,0.0
1561,93.66,0,0.0,0.0,0.0,0.0,0.0
1562,93.72,0,0.0,0.0,0.0,0.0,0.0
1563,93.78,0,0.0,0.0,0.0,0.0,0.0
1564,93.84,0,0.0,0.0,0.0,0.0,0.0
1565,93.89999999999999,0,0.0,0.0,0.0,0.0,0.0
1566,93.96,0,0.0,0.0,0.0,0.0,0.0
1567,94.02,0,0.0,0.0,0.0,0.0,0.0
1568,94.08,0,0.0,0.0,0.0,0.0,0.0
1569,94.14,0,0.0,0.0,0.0,0.0,0.0
1570,94.2,0,0.0,0.0,0.0,0.0,0.0
1571,94.25999999999999,0,0.0,0.0,0.0,0.0,0.0
1572,94.32,0,0.0,0.0,0.0,0.0,0.0
